#Amplitudes and roll-off frequencies for laser power 270mA 
Ax 	 4.902298633066951e-06 	 3.989752110585163e-08 
f0x 	 177.16351344192915 	 2.1225491319420895 
Ay 	 0.0008566541014582122 	 5.3204870490558e-06 
f0y 	 166.64373351706936 	 2.7323292223920093 
Ax 	 2.1138416827143696e-06 	 1.8442273186481644e-08 
f0x 	 115.46177402644797 	 1.5198224135909342 
Ay 	 0.000553520190008455 	 3.4551889663069473e-06 
f0y 	 154.62822821564308 	 2.588188976876161 
Ax 	 2.1138416827143696e-06 	 1.8442273186481644e-08 
f0x 	 115.46177402644797 	 1.5198224135909342 
Ay 	 0.000553520190008455 	 3.4551889663069473e-06 
f0y 	 154.62822821564308 	 2.588188976876161 
Ax 	 2.1138416827143696e-06 	 1.8442273186481644e-08 
f0x 	 115.46177402644797 	 1.5198224135909342 
Ay 	 0.000553520190008455 	 3.4551889663069473e-06 
f0y 	 154.62822821564308 	 2.588188976876161 
Ax 	 2.1138416827143696e-06 	 1.8442273186481644e-08 
f0x 	 115.46177402644797 	 1.5198224135909342 
Ay 	 0.000553520190008455 	 3.4551889663069473e-06 
f0y 	 154.62822821564308 	 2.588188976876161 
