#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
7.0966159e-06  4.1643443e-06            7.1140186e-06  4.1600335e-06
7.1763532e-06  4.1650314e-06            7.1939514e-06  4.1608967e-06
7.2560904e-06  4.1651746e-06            7.2738842e-06  4.1599607e-06
7.3358277e-06  4.166922e-06            7.353817e-06  4.1596585e-06
7.415565e-06  4.167848e-06            7.4337498e-06  4.160069e-06
7.4953022e-06  4.167271e-06            7.5136826e-06  4.1612651e-06
7.5750395e-06  4.1673949e-06            7.5936153e-06  4.164256e-06
7.6547767e-06  4.1689423e-06            7.6735481e-06  4.1670904e-06
7.734514e-06  4.1686081e-06            7.7534809e-06  4.1622025e-06
7.8142512e-06  4.1693715e-06            7.8334137e-06  4.1673269e-06
7.8939885e-06  4.1710694e-06            7.9133465e-06  4.1787255e-06
7.9737258e-06  4.1715891e-06            7.9932793e-06  4.1818718e-06
8.053463e-06  4.1722923e-06            8.0732121e-06  4.17506e-06
8.1332003e-06  4.1731847e-06            8.1531449e-06  4.1762534e-06
8.2129375e-06  4.1731685e-06            8.2330777e-06  4.1775099e-06
8.2926748e-06  4.1735784e-06            8.3130105e-06  4.1816801e-06
8.372412e-06  4.1743233e-06            8.3929433e-06  4.1803844e-06
8.4521493e-06  4.1748002e-06            8.4728761e-06  4.1780256e-06
8.5318866e-06  4.1757476e-06            8.5528089e-06  4.1784033e-06
8.6116238e-06  4.1770638e-06            8.6327417e-06  4.1773096e-06
8.6913611e-06  4.1769169e-06            8.7126745e-06  4.1790438e-06
8.7710983e-06  4.1779977e-06            8.7926072e-06  4.1763088e-06
8.8508356e-06  4.1794505e-06            8.87254e-06  4.1759998e-06
8.9305728e-06  4.1804145e-06            8.9524728e-06  4.1784375e-06
9.0103101e-06  4.1806719e-06            9.0324056e-06  4.1789004e-06
9.0900474e-06  4.1802302e-06            9.1123384e-06  4.1770233e-06
9.1697846e-06  4.1812782e-06            9.1922712e-06  4.172175e-06
9.2495219e-06  4.1818407e-06            9.272204e-06  4.1731762e-06
9.3292591e-06  4.1832927e-06            9.3521368e-06  4.174919e-06
9.4089964e-06  4.1843044e-06            9.4320696e-06  4.1787374e-06
9.4887336e-06  4.1846697e-06            9.5120024e-06  4.1811904e-06
9.5684709e-06  4.1842327e-06            9.5919352e-06  4.1805004e-06
9.6482082e-06  4.1844364e-06            9.671868e-06  4.1800676e-06
9.7279454e-06  4.1866997e-06            9.7518008e-06  4.1794391e-06
9.8076827e-06  4.1877958e-06            9.8317336e-06  4.1755219e-06
9.8874199e-06  4.1864448e-06            9.9116664e-06  4.1733903e-06
9.9671572e-06  4.1881384e-06            9.9915991e-06  4.1747314e-06
1.0046894e-05  4.1891153e-06            1.0071532e-05  4.1737081e-06
1.0126632e-05  4.1888715e-06            1.0151465e-05  4.1798859e-06
1.0206369e-05  4.1907256e-06            1.0231398e-05  4.1849955e-06
