0.000;-0.391
0.019;-0.394
0.038;-0.390
0.056;-0.394
0.075;-0.390
0.094;-0.391
0.113;-0.393
0.131;-0.392
0.150;-0.390
0.169;-0.394
0.188;-0.393
0.206;-0.393
0.225;-0.392
0.244;-0.394
0.263;-0.393
0.281;-0.392
0.300;-0.391
0.319;-0.390
0.338;-0.392
0.356;-0.392
0.375;-0.391
0.394;-0.393
0.413;-0.390
0.431;-0.390
0.450;-0.390
0.469;-0.391
0.488;-0.390
0.506;-0.393
0.525;-0.393
0.544;-0.391
0.563;-0.392
0.581;-0.393
0.600;-0.390
0.619;-0.389
0.638;-0.393
0.656;-0.393
0.675;-0.391
0.694;-0.391
0.713;-0.390
0.731;-0.392
0.750;-0.393
0.769;-0.393
0.788;-0.393
0.806;-0.394
0.825;-0.391
0.844;-0.391
0.863;-0.394
0.881;-0.390
0.900;-0.393
0.919;-0.394
0.938;-0.393
0.956;-0.391
0.975;-0.393
0.994;-0.392
1.013;-0.394
1.031;-0.390
1.050;-0.393
1.069;-0.389
1.088;-0.392
1.106;-0.391
1.125;-0.391
1.144;-0.390
1.163;-0.393
1.181;-0.392
1.200;-0.391
1.219;-0.392
1.238;-0.391
1.256;-0.392
1.275;-0.389
1.294;-0.391
1.313;-0.389
1.331;-0.391
1.350;-0.393
1.369;-0.391
1.388;-0.391
1.406;-0.390
1.425;-0.389
1.444;-0.390
1.463;-0.392
1.481;-0.393
1.500;-0.393
1.519;-0.391
1.538;-0.392
1.556;-0.389
1.575;-0.393
1.594;-0.390
1.613;-0.393
1.631;-0.393
1.650;-0.394
1.669;-0.390
1.688;-0.391
1.706;-0.392
1.725;-0.394
1.744;-0.392
1.763;-0.390
1.781;-0.390
1.800;-0.393
1.819;-0.391
1.838;-0.391
1.856;-0.392
1.875;-0.391
1.894;-0.392
1.913;-0.392
1.931;-0.395
1.950;-0.390
1.969;-0.391
1.988;-0.392
2.006;-0.391
2.025;-0.391
2.044;-0.392
2.063;-0.390
2.081;-0.392
2.100;-0.391
2.119;-0.393
2.138;-0.395
2.156;-0.395
2.175;-0.392
2.194;-0.390
2.213;-0.394
2.231;-0.392
2.250;-0.391
2.269;-0.390
2.288;-0.393
