#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
7.8130536e-06  4.1691264e-06            7.6476075e-06  4.1916139e-06
7.9008407e-06  4.1702492e-06            7.7335357e-06  4.192044e-06
7.9886278e-06  4.1710048e-06            7.8194638e-06  4.1928823e-06
8.0764149e-06  4.1713385e-06            7.905392e-06  4.1814375e-06
8.164202e-06  4.1727329e-06            7.9913202e-06  4.1684584e-06
8.2519892e-06  4.1729495e-06            8.0772484e-06  4.1898675e-06
8.3397763e-06  4.1721714e-06            8.1631765e-06  4.1771072e-06
8.4275634e-06  4.1734523e-06            8.2491047e-06  4.1660288e-06
8.5153505e-06  4.1745208e-06            8.3350329e-06  4.1749474e-06
8.6031376e-06  4.1753716e-06            8.420961e-06  4.1762941e-06
8.6909248e-06  4.1750373e-06            8.5068892e-06  4.1710747e-06
8.7787119e-06  4.1761362e-06            8.5928174e-06  4.161532e-06
8.866499e-06  4.178241e-06            8.6787456e-06  4.1762417e-06
8.9542861e-06  4.178295e-06            8.7646737e-06  4.1759663e-06
9.0420732e-06  4.1772266e-06            8.8506019e-06  4.1677536e-06
9.1298603e-06  4.1653852e-06            8.9365301e-06  4.1624984e-06
9.2176475e-06  4.1333917e-06            9.0224583e-06  4.1815422e-06
9.3054346e-06  4.0895632e-06            9.1083864e-06  4.1793333e-06
9.3932217e-06  4.0846149e-06            9.1943146e-06  4.1678662e-06
9.4810088e-06  4.0875425e-06            9.2802428e-06  4.1511591e-06
9.5687959e-06  4.0887626e-06            9.366171e-06  4.1608727e-06
9.6565831e-06  4.0913496e-06            9.4520991e-06  4.1574803e-06
9.7443702e-06  4.0922034e-06            9.5380273e-06  4.1648012e-06
9.8321573e-06  4.0925794e-06            9.6239555e-06  4.1787907e-06
9.9199444e-06  4.0948078e-06            9.7098837e-06  4.1661894e-06
1.0007732e-05  4.0956817e-06            9.7958118e-06  4.1693556e-06
1.0095519e-05  4.0958335e-06            9.88174e-06  4.1644182e-06
1.0183306e-05  4.0973755e-06            9.9676682e-06  4.1574808e-06
1.0271093e-05  4.0981346e-06            1.0053596e-05  4.1562687e-06
1.035888e-05  4.0970885e-06            1.0139525e-05  4.1736867e-06
1.0446667e-05  4.0981325e-06            1.0225453e-05  4.1718551e-06
1.0534454e-05  4.0980717e-06            1.0311381e-05  4.1556018e-06
1.0622241e-05  4.0975344e-06            1.0397309e-05  4.1497097e-06
1.0710028e-05  4.0989544e-06            1.0483237e-05  4.1395902e-06
1.0797816e-05  4.0997434e-06            1.0569165e-05  4.1229695e-06
1.0885603e-05  4.1001632e-06            1.0655094e-05  4.0705355e-06
1.097339e-05  4.0989782e-06            1.0741022e-05  4.0453354e-06
1.1061177e-05  4.1002457e-06            1.082695e-05  4.0533699e-06
